case_id,round,company,industry,pdf_url,is_clean,analysis_exclusion_recommended,analysis_exclusion_reasons,current9_observed_n_reproduced,current9_below_applicant_n,current9_below_applicant_share,project_cost_oku,subsidy_oku,baseline_sales_oku,employees_base,employees_target,jobs_increase,subsidy_share_project_cost_pct,subsidy_to_baseline_sales_pct,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,growth_observed_n,growth_below_n,growth_below_share,growth_all_observed_below,productivity_value_observed_n,productivity_value_below_n,productivity_value_below_share,productivity_value_all_observed_below,wage_observed_n,wage_below_n,wage_below_share,wage_all_observed_below,sales_cagr_pct,benchmark_applicant_company_sales_cagr,applicant_ratio_no1,below_applicant_no1,benchmark_accepted_company_sales_cagr,below_accepted_no1,sales_increase_oku_yen_normalized,benchmark_applicant_company_sales_increase,applicant_ratio_no2,below_applicant_no2,benchmark_accepted_company_sales_increase,below_accepted_no2,labor_annual_rate_pct,benchmark_applicant_labor_cagr,applicant_ratio_no7,below_applicant_no7,benchmark_accepted_labor_cagr,below_accepted_no7,value_added_increase_estimated_oku,benchmark_applicant_value_added_increase,applicant_ratio_no8,below_applicant_no8,benchmark_accepted_value_added_increase,below_accepted_no8,employee_pay_annual_rate_pct,benchmark_applicant_employee_pay_rate,applicant_ratio_no9,below_applicant_no9,benchmark_accepted_employee_pay_rate,below_accepted_no9,employee_pay_total_increase_estimated_oku,benchmark_applicant_employee_pay_total_increase,applicant_ratio_no10,below_applicant_no10,benchmark_accepted_employee_pay_total_increase,below_accepted_no10,officer_pay_annual_rate_pct,benchmark_applicant_officer_pay_rate,applicant_ratio_no11,below_applicant_no11,benchmark_accepted_officer_pay_rate,below_accepted_no11,investment_sales_ratio_pct,benchmark_applicant_investment_sales_ratio,applicant_ratio_no13,below_applicant_no13,benchmark_accepted_investment_sales_ratio,below_accepted_no13,value_added_subsidy_ratio_proxy_pct,benchmark_applicant_value_added_subsidy_ratio,applicant_ratio_no14,below_applicant_no14,benchmark_accepted_value_added_subsidy_ratio,below_accepted_no14,control_case_id,control_company,control_industry,industry_exact_match,shared_scale_variable_n,match_distance
s1_outline_77,1次,千寿製薬株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_77.pdf,True,False,,5,3.0,0.6,103.0,32.0,,109.0,117.0,8.0,31.067961165048544,,,0.063440625,0.25,0,,,False,3,3.0,1.0,True,2,0.0,0.0,False,,7.0,,,10.0,,,19.5,,,55.0,,8.25,12.0,0.6875,1.0,15.0,1.0,2.3267200000000003,5.1,0.45621960784313736,1.0,14.2,1.0,7.89,3.5,2.254285714285714,0.0,4.3,0.0,2.0301,0.9,2.2556666666666665,0.0,2.3,1.0,,3.4,,,4.0,,,50.0,,,36.0,,6.61,61.0,0.10836065573770493,1.0,126.0,1.0,s1_outline__207,株式会社ジェイ・イー・ティ,製造業,True,3,0.6271372129861947
s1_outline_63,1次,株式会社オティックスホールディングス,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf,True,False,,8,5.0,0.625,166.0,50.0,82.0,17.0,17.0,0.0,30.120481927710845,60.97560975609756,1.98,0.0030259999999999,0.0,1,0.0,0.0,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,,7.0,,,10.0,,99.0,19.5,5.076923076923077,0.0,55.0,0.0,9.2,12.0,0.7666666666666666,1.0,15.0,1.0,2.6049100000000003,5.1,0.5107666666666667,1.0,14.2,1.0,3.85,3.5,1.1,0.0,4.3,1.0,0.1513,0.9,0.1681111111111111,1.0,2.3,1.0,3.0,3.4,0.8823529411764706,1.0,4.0,1.0,202.4390243902439,50.0,4.048780487804878,0.0,36.0,0.0,4.7362,61.0,0.07764262295081968,1.0,126.0,1.0,s1_outline__179,アサヒセイレン中部株式会社,製造業,True,3,0.9030140922023526
s1_outline_50,1次,株式会社松尾製作所,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_50.pdf,True,False,,8,5.0,0.625,109.0,35.0,,1390.0,1401.0,11.0,32.11009174311926,,5.371428571428571,0.2083228571428571,0.3142857142857143,2,1.0,0.5,False,3,2.0,0.6666666666666666,False,3,2.0,0.6666666666666666,False,6.3,7.0,0.9,1.0,10.0,1.0,188.0,19.5,9.64102564102564,0.0,55.0,0.0,6.5,12.0,0.5416666666666666,1.0,15.0,1.0,21.75393,5.1,4.2654764705882355,0.0,14.2,0.0,3.0,3.5,0.8571428571428571,1.0,4.3,1.0,7.2913,0.9,8.101444444444445,0.0,2.3,0.0,3.0,3.4,0.8823529411764706,1.0,4.0,1.0,,50.0,,,36.0,,56.50371428571428,61.0,0.9262903981264636,1.0,126.0,1.0,s1_outline_87,トーカロ株式会社,製造業,True,3,0.45094708129995964
s1_outline__181,2次,株式会社ホテルニューアワジ,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,True,False,,8,5.0,0.625,82.0,26.0,67.8,126.0,147.0,21.0,31.70731707317073,38.34808259587021,1.265384615384615,0.0522576923076923,0.8076923076923077,1,0.0,0.0,False,3,2.0,0.6666666666666666,False,3,3.0,1.0,True,,9.0,,,12.0,,32.9,23.1,1.424242424242424,0.0,46.7,1.0,15.3,17.0,0.9,1.0,22.0,1.0,11.35134,9.1,1.2474,0.0,17.6,1.0,4.5,5.0,0.9,1.0,5.4,1.0,1.3587,1.5,0.9058,1.0,2.9,1.0,4.0,4.4,0.9090909090909091,1.0,5.0,1.0,120.94395280235987,48.0,2.5196656833824975,0.0,46.0,0.0,39.690000000000005,107.0,0.3709345794392524,1.0,149.0,1.0,s1_outline_141,共栄フード株式会社,製造業,False,4,0.7351507119087282
s1_outline_159,2次,浦島観光ホテル株式会社,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf,True,False,,8,6.0,0.75,75.9,14.3,35.3,236.0,236.0,0.0,18.840579710144926,40.50991501416431,0.979020979020979,0.0973706293706293,0.0,1,1.0,1.0,True,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,,9.0,,,12.0,,14.0,23.1,0.6060606060606061,1.0,46.7,1.0,11.0,17.0,0.6470588235294118,1.0,22.0,1.0,6.98324,9.1,0.767389010989011,1.0,17.6,1.0,5.6,5.0,1.1199999999999999,0.0,5.4,0.0,1.3924,1.5,0.9282666666666667,1.0,2.9,1.0,4.0,4.4,0.9090909090909091,1.0,5.0,1.0,215.01416430594904,48.0,4.479461756373938,0.0,46.0,0.0,44.3944055944056,107.0,0.4149009868636037,1.0,149.0,1.0,s1_outline_174,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,宿泊業・飲食サービス業,True,4,0.6560229093090789
s2_outline_72,3次,ときわ製作所株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_72.pdf,True,False,,8,5.0,0.625,10.0,2.5,,59.0,80.0,21.0,25.0,,9.56,0.6325999999999999,8.4,2,1.0,0.5,False,3,1.0,0.3333333333333333,False,3,3.0,1.0,True,25.99,13.0,1.9992307692307691,0.0,14.0,0.0,23.9,42.2,0.5663507109004738,1.0,62.3,1.0,28.1,22.0,1.2772727272727273,0.0,26.0,0.0,8.346250000000001,15.7,0.5316082802547771,1.0,24.1,1.0,4.9,6.0,0.8166666666666668,1.0,6.2,1.0,1.5815,2.4,0.6589583333333333,1.0,3.5,1.0,4.8,5.0,0.96,1.0,5.3,1.0,,57.0,,,61.0,,303.5,139.0,2.183453237410072,0.0,171.0,0.0,s2_outline_5,奥長良川名水株式会社,製造業,True,3,0.983425407273608
s2_outline_205,3次,八戸酒造株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_205.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,8,5.0,0.625,26.0,6.5,9.3,36.0,42.0,6.0,25.0,69.89247311827957,1.0923076923076922,0.1248,0.9230769230769232,1,1.0,1.0,True,3,3.0,1.0,True,3,1.0,0.3333333333333333,False,,13.0,,,14.0,,7.1,42.2,0.16824644549763032,1.0,62.3,1.0,12.4,22.0,0.5636363636363636,1.0,26.0,1.0,2.9607600000000005,15.7,0.1885834394904459,1.0,24.1,1.0,10.0,6.0,1.6666666666666667,0.0,6.2,0.0,0.8112,2.4,0.338,1.0,3.5,1.0,7.0,5.0,1.4,0.0,5.3,0.0,279.5698924731183,57.0,4.904734955668742,0.0,61.0,0.0,41.40923076923077,139.0,0.29790813503043717,1.0,171.0,1.0,s2_outline_13,フジセイコー株式会社,製造業,True,4,0.5659144590525396
s2_outline_95,3次,山崎商事運輸株式会社,運輸業・郵便業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_95.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,7,5.0,0.7142857142857143,26.0,8.5,,92.0,110.0,18.0,32.69230769230769,,4.305882352941176,0.2300705882352941,2.117647058823529,1,1.0,1.0,True,3,3.0,1.0,True,3,1.0,0.3333333333333333,False,,13.0,,,14.0,,36.6,42.2,0.8672985781990521,1.0,62.3,1.0,21.1,22.0,0.9590909090909091,1.0,26.0,1.0,9.892080000000002,15.7,0.6300687898089173,1.0,24.1,1.0,7.0,6.0,1.1666666666666667,0.0,6.2,0.0,1.9556,2.4,0.8148333333333334,1.0,3.5,1.0,5.0,5.0,1.0,0.0,5.3,1.0,,57.0,,,61.0,,105.79764705882354,139.0,0.7611341515023277,1.0,171.0,1.0,s2_outline_78,株式会社宮古島の雪塩,卸売業・小売業,False,3,0.7985751185132898
s2_outline_99,3次,株式会社シュゼット・ホールディングス,サービス業_他に分類されないもの,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_99.pdf,False,True,RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS,6,5.0,0.8333333333333334,104.0,34.0,162.1,84.0,112.0,28.0,32.69230769230769,20.974706971005553,,0.0704117647058823,0.8235294117647058,0,,,False,3,3.0,1.0,True,2,2.0,1.0,True,,13.0,,,14.0,,,42.2,,,62.3,,3.1,22.0,0.1409090909090909,1.0,26.0,1.0,5.38692,15.7,0.343115923566879,1.0,24.1,1.0,5.0,6.0,0.8333333333333334,1.0,6.2,1.0,2.394,2.4,0.9975,1.0,3.5,1.0,,5.0,,,5.3,,64.15792720542875,57.0,1.12557767027068,0.0,61.0,0.0,14.403529411764705,139.0,0.10362251375370292,1.0,171.0,1.0,s2_outline_68,三友プラントサービス株式会社,サービス業_他に分類されないもの,True,4,0.7570268234431508
s2_outline_232,3次,株式会社モリシタ,卸売業・小売業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_232.pdf,False,True,REPRESENTATIVE_ENTITY_AMBIGUOUS,6,4.0,0.6666666666666666,18.0,4.4,,21.0,25.0,4.0,24.444444444444446,,,0.0857727272727272,0.9090909090909092,0,,,False,3,3.0,1.0,True,3,1.0,0.3333333333333333,False,,13.0,,,14.0,,,42.2,,,62.3,,12.9,22.0,0.5863636363636364,1.0,26.0,1.0,1.4129500000000002,15.7,0.08999681528662422,1.0,24.1,1.0,6.0,6.0,1.0,0.0,6.2,1.0,0.3774,2.4,0.15725,1.0,3.5,1.0,6.0,5.0,1.2,0.0,5.3,0.0,,57.0,,,61.0,,29.193181818181813,139.0,0.21002289077828643,1.0,171.0,1.0,s2_outline_47,INTLOOP株式会社,学術研究・専門・技術サービス業,False,3,0.8829145751860813
s2_outline_35,3次,株式会社北海道ちぬやファーム,卸売業・小売業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_35.pdf,False,True,REPRESENTATIVE_ENTITY_AMBIGUOUS,6,5.0,0.8333333333333334,41.0,11.0,,10.0,13.0,3.0,26.829268292682926,,,0.0160727272727272,0.2727272727272727,0,,,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,,13.0,,,14.0,,,42.2,,,62.3,,13.7,22.0,0.6227272727272727,1.0,26.0,1.0,3.3614900000000003,15.7,0.21410764331210194,1.0,24.1,1.0,5.9,6.0,0.9833333333333334,1.0,6.2,1.0,0.1768,2.4,0.07366666666666667,1.0,3.5,1.0,5.9,5.0,1.1800000000000002,0.0,5.3,0.0,,57.0,,,61.0,,27.780909090909088,139.0,0.19986265533028122,1.0,171.0,1.0,s2_outline_69,松村フーズ株式会社,運輸業・郵便業,False,3,0.8804978496428655
s2_outline_19,3次,株式会社高木製作所,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_19.pdf,False,True,RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS,5,3.0,0.6,94.0,23.0,,98.0,101.0,3.0,24.46808510638298,,,0.0605086956521739,0.1304347826086956,0,,,False,3,2.0,0.6666666666666666,False,2,1.0,0.5,False,,13.0,,,14.0,,,42.2,,,62.3,,21.2,22.0,0.9636363636363636,1.0,26.0,1.0,32.99615000000001,15.7,2.101665605095542,0.0,24.1,0.0,6.3,6.0,1.05,0.0,6.2,0.0,1.3917,2.4,0.579875,1.0,3.5,1.0,,5.0,,,5.3,,,57.0,,,61.0,,130.4195652173913,139.0,0.9382702533625273,1.0,171.0,1.0,s2_outline_62,株式会社エネルギーギャップ,製造業,True,3,0.5024661739347114
