case_id,round,company,industry,head_office_region,raw_tail_group,low_score_accepted,raw_domain_mean,efficiency_scale_sufficiency_top2,recommended_adjusted_score,recommended_sufficiency_50,adjusted_domains_at_or_above_25_n,adjusted_niche_competitive,adjusted_broad_competitive,recommended_pareto_layer,efficiency_scale_adjusted_domain_growth,efficiency_scale_adjusted_domain_productivity_value,efficiency_scale_adjusted_domain_wage,log_baseline_sales,log_baseline_employees,has_consortium
s1_outline__181,2次,株式会社ホテルニューアワジ,宿泊業・飲食サービス業,近畿,middle,0.32476380746780226,37.36507936507937,56.00000000000001,56.00000000000001,True,2,True,True,5.0,4.761904761904762,28.0,28.000000000000004,4.231203744939298,4.844187086458591,1.0
s1_outline__195,2次,アシザワ・ファインテック株式会社,製造業,関東,raw_low,0.40073069949671375,35.0,84.52380952380952,84.52380952380952,True,3,True,True,3.0,42.857142857142854,34.0,41.66666666666667,3.380994674344636,5.1298987149230735,0.0
s1_outline__196,2次,株式会社八立製作所,製造業,近畿,raw_low,0.8465491974765135,18.349206349206348,63.33333333333333,63.33333333333333,True,2,True,True,4.0,21.428571428571427,30.0,33.33333333333333,,4.382026634673881,0.0
s2_outline_99,3次,株式会社シュゼット・ホールディングス,サービス業_他に分類されないもの,近畿,not_eligible,,10.626946327166147,7.1029492581058795,7.1029492581058795,False,0,False,False,,,1.442571899615314,5.660377358490566,5.094363509626968,4.442651256490317,1.0
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,運輸業・郵便業,関東,middle,0.13109860596253498,36.19710569701411,76.1535429586437,76.1535429586437,True,2,True,True,,,34.58050925077853,41.57303370786517,,5.902633333401366,1.0
s2_outline_24,3次,高知食糧株式会社,卸売業・小売業,四国,raw_low,0.3068393479354627,24.289062659013656,100.0,100.0,True,2,True,True,7.0,53.85416666666667,19.628137021432497,55.660377358490564,,5.802118375377063,0.0
s2_outline_149,4次,株式会社サン海苔,製造業,九州・沖縄,raw_low,0.37372402198381455,28.9347539134656,100.0,100.0,True,2,True,True,6.0,53.57142857142857,50.46166432912577,9.876543209876543,,4.290459441148391,0.0
s2_outline_172,4次,株式会社環境整備産業,サービス業_他に分類されないもの,九州・沖縄,raw_low,0.42640761864354265,29.782790118895107,60.68361904241486,60.68361904241486,True,3,True,True,7.0,29.278756957328383,31.404862085086485,28.49462365591398,,4.02535169073515,0.0
s1_outline_27,1次,株式会社クラタ,製造業,中部,middle,-0.056851929690686163,34.30809825546667,100.0,100.0,True,2,True,True,5.0,50.37593984962406,78.06686556686557,16.025641025641026,3.871201010907891,3.091042453358316,0.0
s1_outline_39,1次,株式会社ハウゼコ,製造業,近畿,raw_low,0.5051105708695786,23.50279876595666,85.33834586466165,85.33834586466165,True,2,True,True,8.0,35.338345864661655,58.415233415233416,12.727272727272727,3.8501476017100584,5.288267030694535,0.0
s1_outline_49,1次,株式会社ＡＫシステム,製造業,九州・沖縄,raw_low,0.7109223280660867,16.469469758943443,81.86644436644437,81.86644436644437,True,3,True,True,7.0,64.66165413533834,31.86644436644437,26.36363636363636,3.131136910560194,4.709530201312334,0.0
s1_outline_63,1次,株式会社オティックスホールディングス,製造業,中部,raw_low,0.2640802285149317,32.40078082183346,19.442417468733257,19.442417468733257,False,0,False,False,12.0,6.7669172932330826,12.675500175500176,1.8181818181818181,4.418840607796598,2.8903717578961645,0.0
s1_outline_164,1次,株式会社福砂屋グループ,卸売業・小売業,九州・沖縄,raw_low,0.29430311673032583,35.362985733879405,44.32716406400617,44.32716406400617,False,1,True,False,11.0,18.045112781954884,8.937346437346438,26.282051282051285,4.414009680526933,5.3471075307174685,0.0
s2_outline_145,4次,株式会社シャノワール,卸売業・小売業,近畿,raw_low,0.3266526829692754,33.10081884766317,62.17988675912939,62.17988675912939,True,3,True,True,7.0,26.136363636363637,32.55025712949976,29.629629629629626,2.882563575448353,5.846438775057725,0.0
s1_outline__179,2次,アサヒセイレン中部株式会社,製造業,中部,middle,0.1016247980099421,38.666666666666664,27.38095238095238,27.38095238095238,False,0,False,False,5.0,19.047619047619047,8.0,8.333333333333332,,4.0943445622221,0.0
s1_outline__200,2次,株式会社イズミテクノ,製造業,中部,raw_low,0.5985001962914659,21.9047619047619,93.61904761904762,93.61904761904762,True,2,True,True,3.0,47.61904761904761,46.0,14.285714285714285,,4.875197323201151,0.0
s1_outline_40,1次,千代田鋼鉄工業株式会社,製造業,関東,raw_low,0.41403404077561673,27.65475269890671,73.71794871794872,73.71794871794872,True,1,True,False,7.0,68.42105263157895,20.787995787995786,23.717948717948715,,5.049856007249537,0.0
s1_outline_45,1次,山本ビニター株式会社,製造業,近畿,raw_low,0.6095924201682152,20.65895697474645,55.4066985645933,55.4066985645933,True,2,True,True,10.0,26.31578947368421,16.356616356616357,29.09090909090909,,4.574710978503383,0.0
s1_outline_47,1次,ポーライト株式会社,製造業,関東,middle,0.061109254222055355,43.39780731735871,87.91681291681292,87.91681291681292,True,3,True,True,6.0,73.68421052631578,37.916812916812916,25.998107038375494,,5.214935757608986,0.0
s1_outline_66,1次,株式会社アルプスツール,製造業,中部,middle,0.10672295203847919,36.382258882258874,68.51851851851852,68.51851851851852,True,1,True,False,6.0,18.51851851851852,71.28817128817128,15.454545454545453,,2.833213344056216,0.0
s1_outline_102,1次,冬木工業株式会社,製造業,関東,middle,0.17778425433184086,33.854969014806535,52.385878701668176,52.385878701668176,True,1,True,False,11.0,24.06015037593985,28.325728325728328,4.545454545454546,,4.23410650459726,0.0
s1_outline_103,1次,オーケー化成株式会社,製造業,近畿,raw_low,0.3101657621267884,35.966015524916976,80.3063738333961,80.3063738333961,True,3,True,True,9.0,40.6015037593985,31.344331344331344,39.7048700739976,,3.58351893845611,0.0
s2_outline_15,3次,賀谷セロファン株式会社,製造業,中部,raw_low,0.4307238353064095,25.290231727422604,84.13628869756366,84.13628869756366,True,2,True,True,8.0,19.791666666666664,36.96647737680894,47.16981132075472,,4.31748811353631,0.0
s2_outline_30,3次,東洋スクリーン工業株式会社,製造業,近畿,raw_low,0.41004905880017595,22.097046671144494,59.709119496855344,59.709119496855344,True,1,True,False,9.0,22.916666666666664,21.322586554313975,36.79245283018868,,4.727387818712341,0.0
s2_outline_83,3次,株式会社キド,製造業,近畿,raw_low,0.42587678324257466,22.796579552624618,86.56786194052634,86.56786194052634,True,3,True,True,7.0,38.54166666666667,48.02619527385968,34.90566037735849,,4.465908118654584,0.0
s2_outline_95,3次,山崎商事運輸株式会社,運輸業・郵便業,中部,raw_low,0.3799441813477367,23.004516531016936,77.1816037735849,77.1816037735849,True,3,True,True,8.0,28.125,26.937167979483423,49.056603773584904,,4.532599493153256,0.0
s2_outline_110,3次,学校法人花沢学園,教育・学習支援業,関東,raw_low,0.718929366707031,18.347949868718324,56.296940831654155,56.296940831654155,True,2,True,True,10.0,4.166666666666666,29.88184649203151,26.41509433962264,,4.07753744390572,0.0
s2_outline_155,4次,信和化工株式会社,製造業,近畿,raw_low,0.8449183470849699,22.675448710784536,90.55049088359047,90.55049088359047,True,2,True,True,6.0,5.681818181818182,42.16339410939692,48.38709677419355,,3.713572066704308,0.0
s2_outline_164,4次,株式会社東豊精工,製造業,近畿,raw_low,0.46881439660254,33.032227369534525,99.38271604938271,99.38271604938271,True,2,True,True,5.0,21.59090909090909,60.02805049088359,49.382716049382715,,4.584967478670572,0.0
s2_outline_192,4次,フクビ岡山株式会社,製造業,中国,raw_low,0.30926275128731145,28.16267513848159,54.48223468910706,54.48223468910706,True,1,True,False,8.0,22.727272727272727,29.751051893408135,24.731182795698924,,3.713572066704308,0.0
s2_outline_228,4次,株式会社ベネフル,卸売業・小売業,近畿,raw_low,0.5763062614747722,28.5033894343151,48.930575035063114,48.930575035063114,False,0,False,False,,,24.19939223936419,24.731182795698924,3.044522437723423,3.871201010907891,0.0
s1_outline_20,1次,エスティケイテクノロジー株式会社,製造業,九州・沖縄,raw_low,0.2556999245282671,35.10453415743066,93.8973498537257,93.8973498537257,True,3,True,True,7.0,57.14285714285714,38.346788346788344,43.89734985372569,,5.049856007249537,0.0
s1_outline_35,1次,イグス株式会社,製造業,関東,middle,0.2258119528407497,39.20482612861631,92.69688348635717,92.69688348635717,True,3,True,True,7.0,45.86466165413533,46.83222183222183,32.83858199965583,,4.127134385045092,0.0
s1_outline_52,1次,株式会社平島,製造業,九州・沖縄,raw_low,0.36031524522331515,30.94329694250217,64.07049564944302,64.07049564944302,True,2,True,True,10.0,34.58646616541353,29.484029484029485,21.409826191705385,,4.110873864173311,0.0
s1_outline_53,1次,マルコーフーズ株式会社,製造業,関東,raw_low,0.5358793824323702,31.738932410073346,71.07659255310261,71.07659255310261,True,2,True,True,10.0,12.781954887218044,27.000702000702,44.07589055240062,,5.288267030694535,0.0
s1_outline_96,1次,大岡技研株式会社,製造業,中部,raw_low,0.41640305710911135,20.175061425061426,28.264303264303265,28.264303264303265,False,0,False,False,,,14.627939627939629,13.636363636363635,,6.645090969505644,0.0
s2_outline_35,3次,株式会社北海道ちぬやファーム,卸売業・小売業,北海道,raw_low,0.6774305249756598,15.891188862429017,13.789155522989558,13.789155522989558,False,0,False,False,,,5.298589485253709,8.49056603773585,,2.3978952727983707,1.0
s2_outline_195,4次,株式会社レクザム,製造業,近畿,raw_low,0.3153000192914939,35.822283139954955,78.2199625993455,78.2199625993455,True,2,True,True,3.0,94.31818181818183,28.219962599345486,22.043010752688172,,4.634728988229636,0.0
s2_outline_232,3次,株式会社モリシタ,卸売業・小売業,中国,raw_low,0.9007452488560802,19.651034988093055,24.18025279355193,24.18025279355193,False,0,False,False,,,6.2557244916651396,17.92452830188679,,3.091042453358316,1.0
s2_outline_27,3次,株式会社ライト製作所,製造業,関東,not_eligible,,37.60809748427673,56.81996855345912,56.81996855345912,True,1,True,False,10.0,32.29166666666667,24.528301886792452,4.245283018867925,4.343805421853684,2.3978952727983707,0.0
s1_outline_58,1次,三晶エムイーシー株式会社,製造業,中部,not_eligible,,39.592957755709435,76.06568109923813,76.06568109923813,True,2,True,True,,,33.67409617409617,42.39158492514197,,3.4965075614664802,0.0
s1_outline_77,1次,千寿製薬株式会社,製造業,近畿,not_eligible,,40.454069480915116,63.33801333801333,63.33801333801333,True,1,True,False,,,13.338013338013337,50.45603166408535,,4.700480365792417,0.0
s1_outline_70,1次,協和工業株式会社,製造業,中部,raw_low,0.4542039306113754,22.717645875540615,57.22822207721537,57.22822207721537,True,2,True,True,10.0,21.748816485658587,26.355738855738856,30.87248322147651,3.9318256327243257,4.820281565605037,0.0
s1_outline_76,1次,安田工業株式会社,製造業,中国,raw_low,0.5076328730234211,17.52247234703375,53.65470562838984,53.65470562838984,True,1,True,False,8.0,14.92620439988861,38.72850122850123,13.461538461538462,5.1298987149230735,6.042632833682381,0.0
s2_outline_134,4次,池田薬品工業株式会社,製造業,中部,middle,-0.06311199138374339,43.59947653250598,100.0,100.0,True,2,True,True,5.0,60.03014842300557,63.949275362318836,1.2345679012345678,2.6892046139769548,3.4965075614664802,0.0
s2_outline_135,4次,株式会社リバイト,宿泊業・飲食サービス業,近畿,raw_low,0.3489659542515007,46.520719618545705,32.38078541374474,32.38078541374474,False,0,False,False,9.0,3.745361781076067,14.101215521271621,18.27956989247312,2.501435951739211,3.332204510175204,0.0
s2_outline_136,4次,木本製菓株式会社,宿泊業・飲食サービス業,関東,raw_low,0.5814510876225177,33.495670995671,46.85016362786349,46.85016362786349,False,1,True,False,7.0,8.174860853432282,11.366292660121552,35.483870967741936,2.076369342304404,4.2626798770413155,0.0
s2_outline_168,4次,明和工業株式会社,製造業,中部,middle,0.12998693353459556,41.43514784042734,73.65591397849462,73.65591397849462,True,1,True,False,5.0,73.9100185528757,13.487611033193081,23.65591397849462,4.383275854074314,4.007333185232471,1.0
s2_outline_175,4次,化成工業株式会社,製造業,中部,middle,0.2099539952468447,39.282992937070276,100.0,100.0,True,3,True,True,4.0,42.938311688311686,56.08345021037868,59.13978494623656,4.087655574071304,5.25227342804663,0.0
s2_outline_221,4次,株式会社ニシムタ,卸売業・小売業,九州・沖縄,middle,0.22204002438858653,34.99705494420983,61.86093843376953,61.86093843376953,True,1,True,False,7.0,13.497217068645641,48.363721365123894,4.938271604938271,6.761919930758593,4.672828834461906,0.0
s1_outline_31,1次,鎌長製衡株式会社,製造業,四国,raw_low,0.31640596622844347,38.06510258264644,99.72152603731551,99.72152603731551,True,3,True,True,7.0,49.72152603731551,30.51948051948052,74.49664429530202,,4.330733340286331,0.0
s1_outline_78,1次,環境のミカタ株式会社,サービス業_他に分類されないもの,中部,middle,0.22269156288786504,39.35104563268934,100.0,100.0,True,2,True,True,7.0,52.422723475355056,61.72779922779923,13.988556186542763,,2.772588722239781,0.0
s2_outline_44,3次,株式会社アヤボ,製造業,中部,raw_low,0.4701960600474904,33.239907628287504,64.32918498503999,64.32918498503999,True,3,True,True,9.0,33.229166666666664,31.100018318373326,26.41509433962264,,1.791759469228055,0.0
s2_outline_115,4次,株式会社コスモス食品,製造業,近畿,raw_low,0.49725373736641765,31.038260644051064,98.14471243042672,98.14471243042672,True,2,True,True,2.0,48.144712430426715,21.008648901355777,94.6236559139785,,5.075173815233827,0.0
s2_outline_121,4次,株式会社ヤマキ食品,製造業,中部,raw_low,0.3285276845538649,34.987219419196975,78.27840112201963,78.27840112201963,True,3,True,True,6.0,34.148886827458256,39.5687237026648,38.70967741935484,,4.663439094112067,0.0
s2_outline_159,4次,株式会社　ファーストライン,運輸業・郵便業,近畿,raw_low,0.6439495375475652,25.381618785440107,65.16173918247651,65.16173918247651,True,2,True,True,7.0,39.35528756957328,18.384759233286584,25.806451612903224,,4.2626798770413155,0.0
s2_outline_210,4次,南島酒販株式会社,卸売業・小売業,九州・沖縄,raw_low,0.3423134053728511,32.79034567416155,91.93548387096774,91.93548387096774,True,3,True,True,5.0,65.86270871985158,39.48106591865358,41.935483870967744,,4.74493212836325,0.0
s1_outline__190,2次,株式会社GOTENリゾート,宿泊業・飲食サービス業,九州・沖縄,raw_low,0.5664501075780611,41.333333333333336,78.57142857142857,78.57142857142857,True,3,True,True,3.0,28.57142857142857,26.0,61.904761904761905,2.1041341542702074,4.672828834461906,0.0
s1_outline_32,1次,オリヒロエンジニアリング株式会社,製造業,関東,middle,0.23781384816581533,32.29774074881811,67.00181042286306,67.00181042286306,True,1,True,False,10.0,22.55639097744361,44.445419445419446,3.6363636363636362,3.367295829986474,4.499809670330265,0.0
s1_outline_41,1次,株式会社ビッグハウス,,九州・沖縄,raw_low,0.5330308121640454,41.39093125935231,100.0,100.0,True,3,True,True,3.0,69.17293233082707,43.62056862056862,86.36363636363636,2.1972245773362196,3.7376696182833684,0.0
s1_outline_75,1次,株式会社伝食,卸売業・小売業,中部,middle,-0.08758938661036537,49.274583879847036,91.35338345864662,91.35338345864662,True,2,True,True,7.0,41.35338345864661,50.13601263601264,17.94871794871795,4.79081953287472,5.117993812416755,0.0
s1_outline_80,1次,寧薬化学工業株式会社,製造業,近畿,raw_low,0.5742907118973494,25.978318741476638,67.95835743204164,67.95835743204164,True,1,True,False,9.0,21.804511278195488,12.965075465075465,46.15384615384615,3.044522437723423,4.736198448394496,0.0
s1_outline_82,1次,サン工業株式会社,製造業,中部,raw_low,0.34632893119971736,29.310576810576816,66.37047163362952,66.37047163362952,True,2,True,True,10.0,39.097744360902254,19.265531765531765,27.27272727272727,2.920523695956236,5.3981627015177525,0.0
s1_outline_104,1次,ヤマダイ株式会社,製造業,関東,middle,0.20611038264940085,36.33916025738703,70.23809523809524,70.23809523809524,True,2,True,True,9.0,28.57142857142857,24.75868725868726,41.66666666666667,4.726546757154605,5.375278407684165,0.0
s1_outline_156,1次,株式会社ダイセイ,サービス業_他に分類されないもの,四国,raw_low,0.46175857672040505,43.476381371118215,100.0,100.0,True,3,True,True,2.0,43.609022556390975,53.14145314145314,92.72727272727272,2.9480519183187397,5.726847747587197,0.0
s1_outline_159,1次,浦島観光ホテル株式会社,宿泊業・飲食サービス業,近畿,raw_low,0.6260726019483146,21.8770667454878,56.50930150930151,56.50930150930151,True,2,True,True,11.0,3.007518796992481,26.50930150930151,30.0,3.591817741270805,5.4680601411351315,1.0
s2_outline_68,3次,三友プラントサービス株式会社,サービス業_他に分類されないもの,関東,middle,0.0012161872989318058,46.17565793490871,79.93222201868474,79.93222201868474,True,2,True,True,8.0,5.208333333333334,44.08316541491116,35.84905660377358,4.418840607796598,5.472270673671475,0.0
s2_outline_137,4次,株式会社　博多屋,宿泊業・飲食サービス業,九州・沖縄,raw_low,1.3686804958783794,22.976964596880446,22.072230014025248,22.072230014025248,False,0,False,False,10.0,2.272727272727273,4.867928938756428,17.20430107526882,2.307572634505085,4.060443010546419,0.0
s2_outline_171,4次,オギハラ食品株式会社,製造業,九州・沖縄,middle,0.2691151045500519,36.362750931474636,58.50864890135577,58.50864890135577,True,1,True,False,7.0,7.954545454545454,44.53015427769986,13.978494623655912,4.168577839786677,4.07753744390572,0.0
s2_outline_205,3次,八戸酒造株式会社,製造業,東北,raw_low,1.1040820900447583,31.46326054124047,55.27111192526104,55.27111192526104,True,1,True,False,4.0,3.125,5.271111925261037,79.7752808988764,2.33214389523559,3.6109179126442243,0.0
s2_outline_212,3次,キングパーツ株式会社,製造業,中国,raw_low,0.15814625014291453,32.26727397162687,66.37338187702265,66.37338187702265,True,3,True,True,8.0,30.208333333333332,36.16504854368932,30.18867924528302,3.8066624897703196,5.780743515792329,0.0
s2_outline_218,4次,株式会社エム・ケー・ケー,宿泊業・飲食サービス業,中部,raw_low,0.6639969210117852,25.51276360299268,74.7334455667789,74.7334455667789,True,2,True,True,7.0,35.22727272727273,7.012622720897616,39.50617283950617,2.8684669225081145,3.044522437723423,0.0
s1_outline__199,2次,株式会社ティー・シー・ピー,製造業,関東,middle,0.35897072764792676,52.12698412698413,100.0,100.0,True,2,True,True,1.0,57.14285714285714,10.0,100.0,,2.772588722239781,0.0
s1_outline_8,1次,サムテック株式会社,製造業,近畿,middle,-0.23109476833865109,48.918595629121945,82.33082706766916,82.33082706766916,True,2,True,True,9.0,32.33082706766917,57.186732186732186,11.818181818181818,,3.2188758248682006,0.0
s1_outline_46,1次,株式会社アイスコ,卸売業・小売業,関東,raw_high,-0.5069918892260191,50.49345660878688,81.29194630872483,81.29194630872483,True,2,True,True,2.0,96.2406015037594,18.094068094068096,31.29194630872483,,5.0689042022202315,0.0
s1_outline_81,1次,デーバー加工サービス㈱,製造業,関東,raw_low,0.4834757900529403,32.07625707625707,91.9050544050544,91.9050544050544,True,2,True,True,8.0,14.285714285714285,41.9050544050544,58.333333333333336,,5.278114659230517,0.0
s1_outline_170,1次,株式会社光製作所,製造業,近畿,raw_low,0.46351502594169397,26.75829347279365,92.10526315789474,92.10526315789474,True,3,True,True,8.0,42.10526315789473,33.42839592839593,56.780244364136976,,3.1354942159291497,0.0
s2_outline_16,3次,株式会社ヤマキ,製造業,中部,raw_low,0.3194962357599847,30.31366397997191,61.09635464370764,61.09635464370764,True,1,True,False,9.0,9.375,19.586920681443488,41.509433962264154,,4.330733340286331,0.0
s2_outline_32,3次,第一物産株式会社,卸売業・小売業,中部,raw_low,0.22018039887543905,35.471748997577905,100.0,100.0,True,3,True,True,4.0,72.91666666666666,50.549551199853454,68.53932584269663,,4.3694478524670215,0.0
s2_outline_42,3次,中央製乳株式会社,製造業,中部,raw_low,0.16562099368882457,40.27644206305591,79.98717713867009,79.98717713867009,True,2,True,True,8.0,18.75,31.873969591500277,48.113207547169814,,4.8283137373023015,0.0
s2_outline_48,3次,株式会社サンワ,運輸業・郵便業,中部,raw_low,0.19139146082219002,30.099695202621565,100.0,100.0,True,3,True,True,6.0,43.75,61.00934237039752,54.71698113207547,,6.059123195581797,0.0
s2_outline_70,3次,株式会社光製作所,製造業,中部,middle,0.06064237124298958,38.8929024650676,89.65355805243445,89.65355805243445,True,3,True,True,8.0,45.83333333333333,28.036270379190327,43.82022471910113,,4.844187086458591,0.0
s2_outline_87,3次,長野牛乳株式会社,製造業,中部,middle,-0.1130007256761389,45.032296853013236,67.4791628503389,67.4791628503389,True,2,True,True,8.0,31.25,36.22916285033889,17.97752808988764,,3.713572066704308,0.0
s2_outline_105,3次,株式会社シード,製造業,関東,middle,-0.000483454413371875,41.79045361758143,57.03616352201258,57.03616352201258,True,1,True,False,9.0,14.583333333333334,4.286499358856934,42.45283018867924,,6.721425700790643,0.0
s2_outline_106,3次,河淳株式会社,卸売業・小売業,関東,raw_high,-0.4786158613144548,56.22125033074841,77.35849056603773,77.35849056603773,True,2,True,True,4.0,82.29166666666666,23.1086279538377,27.358490566037734,,4.143134726391533,0.0
s2_outline_109,3次,株式会社ヤマイシ,卸売業・小売業,東北,middle,-0.09808742133406624,43.36440260091171,100.0,100.0,True,3,True,True,2.0,84.375,52.779813152592055,53.77358490566038,,5.402677381872279,0.0
s2_outline_116,4次,奥伊吹観光株式会社,生活関連サービス業・娯楽業,近畿,raw_low,0.30931399478245286,28.583616146924545,70.98765432098764,70.98765432098764,True,1,True,False,6.0,68.18181818181817,10.250116877045347,20.98765432098765,,3.9318256327243257,0.0
s2_outline_122,4次,杉プラスチック工業株式会社,製造業,九州・沖縄,middle,0.2685673307260042,38.43661014067746,99.21107994389902,99.21107994389902,True,3,True,True,4.0,60.22727272727273,49.21107994389902,45.16129032258064,,4.672828834461906,0.0
s2_outline_194,4次,リバードコーポレーション株式会社,製造業,中国,raw_low,0.7206719029251989,21.57579771534891,52.16222533894343,52.16222533894343,True,1,True,False,6.0,1.1363636363636365,2.162225338943432,50.617283950617285,,4.795790545596741,0.0
