case_id,round,company,original_filename,page_count,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,outline_1.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,outline_10.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,outline_100.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,outline_101.pdf,5,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_102,1次,冬木工業株式会社,outline_102.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_103,1次,オーケー化成株式会社,outline_103.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_104,1次,ヤマダイ株式会社,outline_104.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_105,1次,中外医薬生産株式会社,outline_105.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_106,1次,株式会社シーエル,outline_106.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_107,1次,株式会社ササキ,outline_107.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
s1_outline_108,1次,株式会社ミラプロ,outline_108.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
s1_outline_109,1次,マイクロカット株式会社,outline_109.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,outline_11.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_110,1次,株式会社菰下鎔断,outline_110.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_111,1次,株式会社向山工場,outline_111.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_111.pdf
s1_outline_112,1次,株式会社八芳園,outline_112.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_113,1次,トーアス株式会社,outline_113.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_113.pdf
s1_outline_114,1次,株式会社中西製作所,outline_114.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_114.pdf
s1_outline_115,1次,株式会社国際エキスプレス,outline_115.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,outline_116.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_117,1次,信越理研株式会社,outline_117.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_117.pdf
s1_outline_118,1次,クリエイトワン株式会社,outline_118.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_118.pdf
s1_outline_119,1次,株式会社フルヤ金属,outline_119.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_119.pdf
s1_outline_12,1次,株式会社松岡,outline_12.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_12.pdf
s1_outline_120,1次,旭陽電気株式会社,outline_120.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_120.pdf
s1_outline_121,1次,土佐鶴酒造株式会社,outline_121.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_121.pdf
s1_outline_122,1次,岸和田製鋼株式会社,outline_122.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_122.pdf
s1_outline_123,1次,株式会社タケエイ,outline_123.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_124,1次,株式会社シロ,outline_124.pdf,3,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_124.pdf
s1_outline_125,1次,株式会社ミダック,outline_125.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_125.pdf
s1_outline_126,1次,高末株式会社,outline_126.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_126.pdf
s1_outline_127,1次,株式会社ユニワールド,outline_127.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
s1_outline_128,1次,株式会社ただおザウルス,outline_128.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_128.pdf
s1_outline_129,1次,株式会社浜屋,outline_129.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_129.pdf
s1_outline_13,1次,株式会社アロン社,outline_13.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_13.pdf
s1_outline_130,1次,小林酒造株式会社,outline_130.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_130.pdf
s1_outline_131,1次,株式会社遠藤写真工芸所,outline_131.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_131.pdf
s1_outline_132,1次,株式会社ヨシノ自動車,outline_132.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_132.pdf
s1_outline_134,1次,株式会社コンメックス,outline_134.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_134.pdf
s1_outline_135,1次,株式会社永井運送,outline_135.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_135.pdf
s1_outline_136,1次,まねき食品株式会社,outline_136.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_136.pdf
s1_outline_137,1次,総武機械株式会社,outline_137.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_137.pdf
s1_outline_138,1次,菅野包装資材株式会社,outline_138.pdf,7,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_138.pdf
s1_outline_139,1次,川﨑工業株式会社,outline_139.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_139.pdf
s1_outline_14,1次,日華化学株式会社,outline_14.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf
s1_outline_140,1次,新生電子株式会社,outline_140.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_140.pdf
s1_outline_141,1次,共栄フード株式会社,outline_141.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_141.pdf
s1_outline_143,1次,株式会社ロッキー,outline_143.pdf,6,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_143.pdf
s1_outline_145,1次,株式会社小松電業所,outline_145.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_145.pdf
s1_outline_146,1次,アオイ電子株式会社,outline_146.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_146.pdf
s1_outline_147,1次,株式会社ｂｕｄ梱包出荷サポート,outline_147.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_147.pdf
s1_outline_148,1次,株式会社しばた工芸,outline_148.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_148.pdf
s1_outline_149,1次,株式会社共同物流サービス,outline_149.pdf,3,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_149.pdf
s1_outline_150,1次,三笠産業株式会社,outline_150.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_150.pdf
s1_outline_151,1次,四国医療サービス株式会社,outline_151.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_151.pdf
s1_outline_152,1次,ヤマトミシン製造株式会社,outline_152.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_152.pdf
s1_outline_153,1次,株式会社越後屋,outline_153.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_153.pdf
s1_outline_154,1次,中央観光株式会社,outline_154.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_154.pdf
s1_outline_155,1次,株式会社スギノマシン,outline_155.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_155.pdf
s1_outline_156,1次,株式会社ダイセイ,outline_156.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_156.pdf
s1_outline_157,1次,ハマダコンフェクト株式会社,outline_157.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_157.pdf
s1_outline_158,1次,平和食品工業株式会社,outline_158.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_158.pdf
s1_outline_159,1次,浦島観光ホテル株式会社,outline_159.pdf,4,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf
s1_outline_16,1次,株式会社旭ウエルテック,outline_16.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_16.pdf
s1_outline_162,1次,信光陸運株式会社,outline_162.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_162.pdf
s1_outline_164,1次,株式会社福砂屋グループ,outline_164.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf
s1_outline_166,1次,株式会社福地建設,outline_166.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_166.pdf
s1_outline_167,1次,銘建工業株式会社,outline_167.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_167.pdf
s1_outline_168,1次,株式会社大真空,outline_168.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_168.pdf
s1_outline_169,1次,サトウ食品株式会社,outline_169.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_169.pdf
s1_outline_17,1次,進工業株式会社,outline_17.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_17.pdf
s1_outline_170,1次,株式会社光製作所,outline_170.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_170.pdf
s1_outline_171,1次,昭和産業株式会社,outline_171.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_173,1次,中央紙通商株式会社,outline_173.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_173.pdf
s1_outline_174,1次,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,outline_174.pdf,7,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_174.pdf
s1_outline_177,1次,さいほく鉄工株式会社,outline_177.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_177.pdf
s1_outline_19,1次,株式会社XEN GROUP,outline_19.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_19.pdf
s1_outline_2,1次,株式会社アイ・テック,outline_2.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_2.pdf
s1_outline_20,1次,エスティケイテクノロジー株式会社,outline_20.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_20.pdf
s1_outline_21,1次,株式会社くまさんメディクス,outline_21.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_21.pdf
s1_outline_22,1次,BBSジャパン株式会社,outline_22.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_22.pdf
s1_outline_23,1次,株式会社ジェーイーエル,outline_23.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_23.pdf
s1_outline_24,1次,株式会社フジキン,outline_24.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_24.pdf
s1_outline_25,1次,日本リファイン株式会社,outline_25.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf
s1_outline_26,1次,日星電気株式会社,outline_26.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
s1_outline_27,1次,株式会社クラタ,outline_27.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_27.pdf
s1_outline_28,1次,広陵化学工業株式会社,outline_28.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_28.pdf
s1_outline_29,1次,株式会社三和テスコ,outline_29.pdf,3,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_29.pdf
s1_outline_3,1次,株式会社堀場エステック,outline_3.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_3.pdf
s1_outline_30,1次,株式会社メイドー,outline_30.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_30.pdf
s1_outline_31,1次,鎌長製衡株式会社,outline_31.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_31.pdf
s1_outline_32,1次,オリヒロエンジニアリング株式会社,outline_32.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_32.pdf
s1_outline_33,1次,株式会社石井機械製作所,outline_33.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_33.pdf
s1_outline_34,1次,株式会社柴田合成,outline_34.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_34.pdf
s1_outline_35,1次,イグス株式会社,outline_35.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_35.pdf
s1_outline_36,1次,株式会社廣澤精機製作所,outline_36.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_36.pdf
s1_outline_37,1次,大日工業株式会社,outline_37.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_37.pdf
s1_outline_38,1次,テラル株式会社,outline_38.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_38.pdf
s1_outline_39,1次,株式会社ハウゼコ,outline_39.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_39.pdf
s1_outline_4,1次,株式会社インターオフィス,outline_4.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_4.pdf
s1_outline_40,1次,千代田鋼鉄工業株式会社,outline_40.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_40.pdf
s1_outline_41,1次,株式会社ビッグハウス,outline_41.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_41.pdf
s1_outline_42,1次,株式会社山田ドビー,outline_42.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_42.pdf
s1_outline_43,1次,丸井産業株式会社,outline_43.pdf,3,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_43.pdf
s1_outline_45,1次,山本ビニター株式会社,outline_45.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_45.pdf
s1_outline_46,1次,株式会社アイスコ,outline_46.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_46.pdf
s1_outline_47,1次,ポーライト株式会社,outline_47.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_47.pdf
s1_outline_48,1次,SINGS株式会社,outline_48.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_48.pdf
s1_outline_49,1次,株式会社ＡＫシステム,outline_49.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_49.pdf
s1_outline_5,1次,大森機械工業株式会社,outline_5.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_5.pdf
s1_outline_50,1次,株式会社松尾製作所,outline_50.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_50.pdf
s1_outline_51,1次,株式会社西部技研,outline_51.pdf,5,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_51.pdf
s1_outline_52,1次,株式会社平島,outline_52.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_52.pdf
s1_outline_53,1次,マルコーフーズ株式会社,outline_53.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_53.pdf
s1_outline_55,1次,株式会社コーヨークリエイト,outline_55.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_55.pdf
s1_outline_56,1次,高知通運株式会社,outline_56.pdf,3,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_56.pdf
s1_outline_58,1次,三晶エムイーシー株式会社,outline_58.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_58.pdf
s1_outline_61,1次,三恵工業株式会社,outline_61.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_61.pdf
s1_outline_62,1次,サーパス工業株式会社,outline_62.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_62.pdf
s1_outline_63,1次,株式会社オティックスホールディングス,outline_63.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf
s1_outline_65,1次,株式会社松風,outline_65.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_65.pdf
s1_outline_66,1次,株式会社アルプスツール,outline_66.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_66.pdf
s1_outline_67,1次,アドバンス電気工業株式会社,outline_67.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_67.pdf
s1_outline_68,1次,株式会社ミマキエンジニアリング,outline_68.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_68.pdf
s1_outline_69,1次,NAX JAPAN株式会社,outline_69.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_69.pdf
s1_outline_7,1次,株式会社ＭＡＲＵＷＡ,outline_7.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_7.pdf
s1_outline_70,1次,協和工業株式会社,outline_70.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_70.pdf
s1_outline_71,1次,株式会社北四国グラビア印刷,outline_71.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_71.pdf
s1_outline_72,1次,ヤマセ電気株式会社,outline_72.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_72.pdf
s1_outline_73,1次,株式会社大昌鉄工所,outline_73.pdf,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_73.pdf
